Price,Adj Close,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META,META
Date,,,,,,
2023-01-03,124.36555480957031,124.73999786376953,126.37000274658203,122.27999877929688,122.81999969482422,35528500
2023-01-04,126.98765563964844,127.37000274658203,129.0500030517578,125.8499984741211,127.37999725341797,32397100
2023-01-05,126.55895233154297,126.94000244140625,128.52000427246094,124.54000091552734,126.12999725341797,25447100
2023-01-06,129.62969970703125,130.02000427246094,130.3300018310547,126.04000091552734,128.97000122070312,27584500
2023-01-09,129.0813446044922,129.47000122070312,132.9499969482422,129.27999877929688,131.16000366210938,26649100
2023-01-10,132.59078979492188,132.99000549316406,133.44000244140625,127.1500015258789,127.2699966430664,28684400
2023-01-11,132.4910888671875,132.88999938964844,133.85000610351562,130.33999633789062,130.9600067138672,25423000
2023-01-12,136.2996063232422,136.7100067138672,137.67999267578125,131.75999450683594,133.44000244140625,30757700
2023-01-13,136.56881713867188,136.97999572753906,137.38999938964844,134.83999633789062,134.97000122070312,22423800
2023-01-17,134.95367431640625,135.36000061035156,136.75,134.25,136.17999267578125,21147600
2023-01-18,132.62069702148438,133.02000427246094,137.25,132.8000030517578,135.80999755859375,20215500
2023-01-19,135.7412872314453,136.14999389648438,137.4499969482422,132.13999938964844,132.49000549316406,28625200
2023-01-20,138.9516143798828,139.3699951171875,139.94000244140625,134.61000061035156,135.88999938964844,28688600
2023-01-23,142.83993530273438,143.27000427246094,143.75999450683594,138.66000366210938,139.2899932861328,27470100
2023-01-24,142.71031188964844,143.13999938964844,145.0,141.36000061035156,141.69000244140625,21970200
2023-01-25,141.0752410888672,141.5,143.1699981689453,140.30999755859375,141.22000122070312,26622000
2023-01-26,146.8578338623047,147.3000030517578,147.50999450683594,143.3000030517578,144.39999389648438,25482100
2023-01-27,151.2845001220703,151.74000549316406,153.19000244140625,147.38999938964844,148.24000549316406,35771900
2023-01-30,146.61856079101562,147.05999755859375,151.1199951171875,146.9499969482422,149.41000366210938,28040100
2023-01-31,148.52281188964844,148.97000122070312,149.8800048828125,147.52000427246094,147.9499969482422,29842100
2023-02-01,152.6603546142578,153.1199951171875,153.5800018310547,147.05999755859375,148.02999877929688,55661000
2023-02-02,188.20333862304688,188.77000427246094,197.16000366210938,180.16000366210938,183.3800048828125,150475700
2023-02-03,185.97007751464844,186.52999877929688,196.77000427246094,182.88999938964844,183.47000122070312,76809700
2023-02-06,185.50146484375,186.05999755859375,190.6999969482422,185.52000427246094,186.52999877929688,42483800
2023-02-07,191.04478454589844,191.6199951171875,193.77999877929688,184.39999389648438,185.5800018310547,47080700
2023-02-08,182.87936401367188,183.42999267578125,190.8300018310547,182.9199981689453,190.0,36139100
2023-02-09,177.38592529296875,177.9199981689453,186.64999389648438,177.27000427246094,186.1300048828125,37118800
2023-02-10,173.62722778320312,174.14999389648438,178.88999938964844,173.35000610351562,176.35000610351562,33433600
2023-02-13,178.89137268066406,179.42999267578125,181.0,175.82000732421875,178.22000122070312,31463200
2023-02-14,178.94122314453125,179.47999572753906,181.50999450683594,175.8800048828125,177.16000366210938,24034600
2023-02-15,176.62818908691406,177.16000366210938,178.19000244140625,175.3300018310547,176.4199981689453,25308900
2023-02-16,171.92236328125,172.44000244140625,175.85000610351562,171.7899932861328,172.75,25827500
2023-02-17,172.3610382080078,172.8800048828125,173.17999267578125,169.6999969482422,170.22000122070312,24171300
2023-02-21,171.5634307861328,172.0800018310547,178.1699981689453,171.8800048828125,174.30999755859375,34592600
2023-02-22,170.6063232421875,171.1199951171875,172.75999450683594,169.69000244140625,171.07000732421875,22433200
2023-02-23,171.5235595703125,172.0399932861328,173.69000244140625,169.3800048828125,172.0,20017800
2023-02-24,169.87852478027344,170.38999938964844,170.72000122070312,167.66000366210938,168.63999938964844,19791300
2023-02-27,169.0310516357422,169.5399932861328,173.1199951171875,169.05999755859375,171.8800048828125,19277000
2023-02-28,174.41485595703125,174.94000244140625,177.5500030517578,171.8699951171875,171.89999389648438,46051100
2023-03-01,172.89942932128906,173.4199981689453,177.85000610351562,173.0500030517578,174.58999633789062,30998400
2023-03-02,174.006103515625,174.52999877929688,175.00999450683594,171.42999267578125,172.3800048828125,17352000
2023-03-03,184.69390869140625,185.25,186.6199951171875,177.0500030517578,178.9199981689453,45877700
2023-03-06,184.34495544433594,184.89999389648438,189.66000366210938,184.63999938964844,188.0,33209400
2023-03-07,183.9561309814453,184.50999450683594,190.36000061035156,184.00999450683594,189.0,36701500
2023-03-08,184.4147491455078,184.97000122070312,185.25999450683594,181.33999633789062,182.8699951171875,19432400
2023-03-09,181.14459228515625,181.69000244140625,188.92999267578125,180.3000030517578,186.35000610351562,26582800
2023-03-10,178.97113037109375,179.50999450683594,184.77000427246094,178.8000030517578,181.00999450683594,25665000
2023-03-13,180.35696411132812,180.89999389648438,183.77999877929688,174.82000732421875,177.9600067138672,24728000
2023-03-14,193.4375762939453,194.02000427246094,194.32000732421875,186.55999755859375,187.5800018310547,41642600
2023-03-15,197.15638732910156,197.75,197.77999877929688,190.83999633789062,192.9499969482422,42123600
2023-03-16,204.31483459472656,204.92999267578125,205.75999450683594,196.08999633789062,198.25999450683594,50447100
2023-03-17,195.02281188964844,195.61000061035156,201.89999389648438,195.42999267578125,200.55999755859375,50141100
2023-03-20,197.21621704101562,197.80999755859375,199.36000061035156,193.63999938964844,198.47999572753906,25186300
2023-03-21,201.5531463623047,202.16000366210938,203.5500030517578,197.9499969482422,203.1999969482422,31827000
2023-03-22,199.210205078125,199.80999755859375,207.3699951171875,199.6699981689453,202.5,28477800
2023-03-23,203.66677856445312,204.27999877929688,207.8800048828125,202.14999389648438,202.83999633789062,27389700
2023-03-24,205.39158630371094,206.00999450683594,207.5800018310547,203.5500030517578,205.17999267578125,27716400
2023-03-27,202.23110961914062,202.83999633789062,205.86000061035156,201.36000061035156,204.80999755859375,18527200
2023-03-28,200.0775909423828,200.67999267578125,201.02999877929688,197.89999389648438,200.14999389648438,19127300
2023-03-29,204.7335662841797,205.35000610351562,205.72000122070312,202.5399932861328,203.55999755859375,18851100
2023-03-30,207.21609497070312,207.83999633789062,208.08999633789062,202.82000732421875,203.3800048828125,22608300
2023-03-31,211.3037872314453,211.94000244140625,212.1699981689453,206.77000427246094,207.24000549316406,25440300
2023-04-03,212.430419921875,213.07000732421875,213.49000549316406,208.1999969482422,208.83999633789062,17924600
2023-04-04,214.075439453125,214.72000122070312,216.24000549316406,212.5399932861328,213.38999938964844,21026400
2023-04-05,210.8451690673828,211.47999572753906,215.19000244140625,209.94000244140625,214.14999389648438,19396600
2023-04-06,215.45132446289062,216.10000610351562,216.94000244140625,208.64999389648438,209.25,26104400
2023-04-10,214.1053466796875,214.75,215.66000366210938,210.66000366210938,214.7100067138672,16106100
2023-04-11,213.20806884765625,213.85000610351562,216.02000427246094,213.41000366210938,215.47999572753906,16710100
2023-04-12,213.35760498046875,214.0,216.83999633789062,212.5800018310547,214.83999633789062,18972200
2023-04-13,219.68853759765625,220.35000610351562,221.14999389648438,215.69000244140625,215.72999572753906,23310400
2023-04-14,220.8251190185547,221.49000549316406,222.11000061035156,217.5500030517578,217.8800048828125,21591200
2023-04-17,218.2030029296875,218.86000061035156,220.97999572753906,217.1300048828125,219.7899932861328,15481900
2023-04-18,217.23593139648438,217.88999938964844,220.44000244140625,216.2100067138672,219.91000366210938,12281000
2023-04-19,215.05250549316406,215.6999969482422,217.3300018310547,212.92999267578125,213.47000122070312,15898100
2023-04-20,212.430419921875,213.07000732421875,216.75,212.77000427246094,213.47999572753906,16475400
2023-04-21,212.2509307861328,212.88999938964844,213.41000366210938,209.5800018310547,210.2100067138672,17717200
2023-04-24,212.15122985839844,212.7899932861328,213.9199981689453,210.7100067138672,213.67999267578125,15750900
2023-04-25,206.9269561767578,207.5500030517578,211.25999450683594,207.1300048828125,210.82000732421875,19198200
2023-04-26,208.7714080810547,209.39999389648438,214.11000061035156,208.8800048828125,212.5,41992700
2023-04-27,237.84388732910156,238.55999755859375,241.69000244140625,236.77000427246094,239.88999938964844,71196500
2023-04-28,239.59860229492188,240.32000732421875,240.42999267578125,235.75,239.00999450683594,39554000
2023-05-01,242.4499969482422,243.17999267578125,244.0,236.4600067138672,238.6199951171875,29143900
2023-05-02,238.52183532714844,239.24000549316406,244.9199981689453,238.99000549316406,243.17999267578125,24350100
2023-05-03,236.3184814453125,237.02999877929688,241.75,232.75,239.47000122070312,34463900
2023-05-04,232.8190155029297,233.52000427246094,238.1999969482422,232.92999267578125,236.05999755859375,17889400
2023-05-05,232.0812225341797,232.77999877929688,234.67999267578125,229.85000610351562,232.24000549316406,26978900
2023-05-08,232.56976318359375,233.27000427246094,235.6199951171875,230.27000427246094,231.4199981689453,16400500
2023-05-09,232.66944885253906,233.3699951171875,235.8800048828125,231.0800018310547,231.4600067138672,16865600
2023-05-10,232.38034057617188,233.0800018310547,236.75,230.72000122070312,236.1699981689453,19119000
2023-05-11,235.0821990966797,235.7899932861328,238.2100067138672,232.3000030517578,233.0500030517578,20449000
2023-05-12,233.10812377929688,233.80999755859375,236.9600067138672,231.4499969482422,236.74000549316406,16155300
2023-05-15,238.14297485351562,238.86000061035156,240.25999450683594,235.3300018310547,236.9199981689453,20653200
2023-05-16,238.10311889648438,238.82000732421875,239.63999938964844,235.52000427246094,235.7899932861328,18163800
